iso_year,iso_week,temperature_c,precipitation_mm,week_start
2022,1,2.442857142857143,16.549999999999997,2022-01-03
2022,2,3.75,2.0999999999999996,2022-01-10
2022,3,3.185714285714286,4.249999999999999,2022-01-17
2022,4,5.2785714285714285,6.05,2022-01-24
2022,5,3.3285714285714287,23.150000000000002,2022-01-31
2022,6,3.607142857142857,2.75,2022-02-07
2022,7,4.557142857142857,43.60000000000001,2022-02-14
2022,8,3.8714285714285714,22.9,2022-02-21
2022,9,1.6142857142857143,0.05,2022-02-28
2022,10,2.6,0,2022-03-07
2022,11,4.4714285714285715,2.1,2022-03-14
2022,12,6.214285714285714,0,2022-03-21
2022,13,2.6714285714285717,3.2,2022-03-28
2022,14,4.692857142857143,28.300000000000004,2022-04-04
2022,15,6.464285714285714,2.6,2022-04-11
2022,16,8.571428571428571,1.3,2022-04-18
2022,17,7.9714285714285715,1.45,2022-04-25
2022,18,10.214285714285714,0.95,2022-05-02
2022,19,11.878571428571428,12.3,2022-05-09
2022,20,12.978571428571428,16.650000000000002,2022-05-16
2022,21,12.457142857142857,20.500000000000007,2022-05-23
2022,22,12.128571428571428,17.950000000000003,2022-05-30
2022,23,14.742857142857142,16.45,2022-06-06
2022,24,14.857142857142858,14.850000000000001,2022-06-13
2022,25,16.75,4.3,2022-06-20
2022,26,17.821428571428573,21.8,2022-06-27
2022,27,15.807142857142857,8.950000000000001,2022-07-04
2022,28,16.607142857142858,4,2022-07-11
2022,29,18.72142857142857,10.599999999999998,2022-07-18
2022,30,16.178571428571427,18.9,2022-07-25
2022,31,16.742857142857144,12,2022-08-01
2022,32,18.25,1.8,2022-08-08
2022,33,20.05,9.25,2022-08-15
2022,34,18.792857142857144,21.15,2022-08-22
2022,35,15.885714285714286,0.7,2022-08-29
2022,36,16.135714285714286,23.45,2022-09-05
2022,37,13.621428571428572,11.1,2022-09-12
2022,38,12.035714285714285,2.3000000000000003,2022-09-19
2022,39,11.32857142857143,41.49999999999999,2022-09-26
2022,40,12.907142857142857,4.3999999999999995,2022-10-03
2022,41,11.571428571428571,12.100000000000001,2022-10-10
2022,42,10.871428571428572,12.85,2022-10-17
2022,43,13.014285714285714,9.799999999999999,2022-10-24
2022,44,10.878571428571428,9,2022-10-31
2022,45,11.792857142857143,6.050000000000001,2022-11-07
2022,46,5.885714285714286,2.75,2022-11-14
2022,47,5.142857142857143,11.250000000000002,2022-11-21
2022,48,4.107142857142857,8.75,2022-11-28
2022,49,-0.021428571428571387,9.5,2022-12-05
2022,50,-2.707142857142857,5.5,2022-12-12
2022,51,3.4642857142857144,17.25,2022-12-19
2022,52,6.0285714285714285,35.05,2022-12-26
2023,1,5.671428571428572,48.650000000000006,2023-01-02
2023,2,5.642857142857143,32.199999999999996,2023-01-09
2023,3,1.6857142857142857,14.05,2023-01-16
2023,4,1.4214285714285715,2.35,2023-01-23
2023,5,2.5214285714285714,18.200000000000003,2023-01-30
2023,6,3.492857142857143,0.25,2023-02-06
2023,7,4.392857142857142,8.25,2023-02-13
2023,8,3.814285714285714,14.450000000000001,2023-02-20
2023,9,1.8928571428571428,0.5,2023-02-27
2023,10,0.11428571428571424,12.05,2023-03-06
2023,11,5.15,23.500000000000004,2023-03-13
2023,12,6.7,23.25,2023-03-20
2023,13,4.05,22.649999999999995,2023-03-27
2023,14,4.328571428571428,0.65,2023-04-03
2023,15,7.521428571428571,25.2,2023-04-10
2023,16,9.242857142857144,5.05,2023-04-17
2023,17,6.9071428571428575,9.15,2023-04-24
2023,18,7.807142857142857,1,2023-05-01
2023,19,12.65,0.30000000000000004,2023-05-08
2023,20,11.457142857142857,5.6,2023-05-15
2023,21,13.057142857142857,5.6499999999999995,2023-05-22
2023,22,13.492857142857144,0,2023-05-29
2023,23,15.642857142857142,0,2023-06-05
2023,24,17.72142857142857,4.5,2023-06-12
